ERAID,Rank,Title,FoR1,FoR1 Name,FoR2,FoR2 Name,FoR3,FoR2 Name,ISSN1,ISSN2,ISSN3,ISSN4
3394,B,"Biosecurity and Bioterrorism: biodefense strategy, practice and science",11,Medical and Health Sciences,16,Studies In Human Society,06,Biological Sciences,1538-7135,1557-850X,,
1617,A*,Biosensors and Bioelectronics,1007,Nanotechnology,0301,Analytical Chemistry,0903,Biomedical Engineering ,0956-5663,1873-4235,,
40543,C,BioSocieties,06,Biological Sciences,,,,,1745-8552,1745-8560,,
40721,A*,Biostatistics,0104,Statistics ,0604,Genetics ,,,1465-4644,1468-4357,,
2063,B,Biosystems,06,Biological Sciences,09,Engineering,,,0303-2647,1872-8324,,
3455,A,Biosystems Engineering,0999,Other Engineering,0903,Biomedical Engineering ,,,1537-5110,1537-5129,0021-8634,
3395,C,Biotech Medical,1004,Medical Biotechnology,,,,,1902-7818,1902-7826,1603-9939,
15179,C,Biotechnic and Histochemistry: a journal for microtechnic and histochemistry,1108,Medical Microbiology,,,,,1052-0295,1473-7760,0038-9153,
3341,B,BioTechniques: the journal of laboratory technology for bioresearch,10,Technology,06,Biological Sciences,,,0736-6205,1940-9818,,
3342,B,Biotechnology,10,Technology,06,Biological Sciences,09,Engineering,1682-296X,1682-2978,,
3343,A,Biotechnology Advances,10,Technology,06,Biological Sciences,09,Engineering,0734-9750,1873-1899,,
3344,C,Biotechnology and Applied Biochemistry,10,Technology,06,Biological Sciences,09,Engineering,0885-4513,1470-8744,0161-7354,
3345,A,Biotechnology and Bioengineering,10,Technology,09,Engineering,06,Biological Sciences,0006-3592,1097-0290,,
36842,C,Biotechnology and Bioprocess Engineering,0604,Genetics ,0904,Chemical Engineering ,,,1226-8372,1976-3816,,
3396,C,Biotechnology and Biotechnological Equipment,10,Technology,09,Engineering,06,Biological Sciences,1310-2818,,,
3397,C,Biotechnology and Genetic Engineering Reviews,10,Technology,06,Biological Sciences,09,Engineering,0264-8725,,,
3398,C,Biotechnology and Molecular Biology Reviews,10,Technology,06,Biological Sciences,09,Engineering,1538-2273,,,
3399,C,Biotechnology Annual Review,10,Technology,06,Biological Sciences,09,Engineering,1387-2656,1875-5208,,
3400,C,Biotechnology for Biofuels,1003,Industrial Biotechnology,0904,Chemical Engineering ,,,1754-6834,,,
3401,C,Biotechnology in Animal Husbandry,1001,Agricultural Biotechnology,,,,,1450-9156,0353-6289,,
41542,B,Biotechnology Journal,1002,Environmental Biotechnology,1003,Industrial Biotechnology,1004,Medical Biotechnology,1860-6768,1860-7314,,
33129,C,Biotechnology Law Report,1801,Law,,,,,0730-031X,1557-8704,,
3346,A,Biotechnology Letters,10,Technology,06,Biological Sciences,09,Engineering,0141-5492,1573-6776,0951-208X,
3347,A,Biotechnology Progress,10,Technology,06,Biological Sciences,09,Engineering,8756-7938,1520-6033,,
3403,C,Biotecnologia Aplicada,10,Technology,09,Engineering,06,Biological Sciences,0864-4551,1027-2852,,
3404,C,Biotecnologia Vegetal,1001,Agricultural Biotechnology,0904,Chemical Engineering ,,,1609-1841,,,
3405,C,Biotekhnologiya,10,Technology,09,Engineering,06,Biological Sciences,0234-2758,,,
3213,B,Biotropica,06,Biological Sciences,,,,,0006-3606,1744-7429,,
13135,A,Bipolar Disorders,1103,Clinical Sciences,,,,,1398-5647,,,
2845,C,Bird Behavior: an international and interdisciplinary multimedia journal,0608,Zoology,,,,,0156-1383,0314-5921,,
5809,C,Bird Conservation International,06,Biological Sciences,05,Environmental Sciences,,,0959-2709,1474-0001,,
2846,C,Bird Study: the science of pure and applied orinthology,0608,Zoology,,,,,0006-3657,1944-6705,0523-6894,
11714,C,Birmingham Poetry Review,2005,Literary Studies,,,,,1047-2258,,,
15793,C,Birth Defects Research Part C: Embryo Today Reviews,1114,Paediatrics and Reproductive Medicine,,,,,1542-975X,,,
15794,B,Birth Defects Research. Part A: Clinical and Molecular Teratology,1114,Paediatrics and Reproductive Medicine,,,,,1542-0752,1542-0760,0040-3709,
14701,C,Birth Defects Research. Part B: Developmental and Reproductive Toxicology,1115,Pharmacology and Pharmaceutical Sciences,,,,,1542-9733,1542-9741,0270-3211,
41544,B,Birth Issues,1117,Public Health and Health Services,,,,,1038-023X,,,
13442,A*,Birth: Issues in Perinatal Care,1110,Nursing,1117,Public Health and Health Services,1103,Clinical Sciences,0730-7659,1523-536X,,
70,B,BIT Numerical Mathematics,0103,Numerical and Computational Mathematics,0102,Applied Mathematics,,,0006-3835,1572-9125,,
10272,C,Biuletyn Historii Sztuki,1901,Art Theory and Criticism,,,,,0006-3967,,,
2321,C,Biyokimya Dergisi,0601,Biochemistry and Cell Biology,,,,,1303-829X,0250-4685,,
15795,A,BJOG: an International Journal of Obstetrics and Gynaecology,1114,Paediatrics and Reproductive Medicine,1117,Public Health and Health Services,,,1470-0328,1471-0528,,
15030,C,BJPS: Brazilian Journal of Pharmaceutical Sciences,1115,Pharmacology and Pharmaceutical Sciences,,,,,1984-8250,1516-9332,0370-4726,
42203,C,BJR Supplement,1103,Clinical Sciences,,,,,0961-2653,,,
15843,C,BJU International,1103,Clinical Sciences,,,,,1464-410X,,,
35765,B,Black Camera: a micro journal of black film studies,1902,"Film, Television and Digital Media",,,,,1536-3155,,,
11715,C,Black Ice,2005,Literary Studies,,,,,1047-515X,,,
9887,B,Black Music Research Journal,1904,Performing Arts and Creative Writing,,,,,0276-3605,1946-1615,,
10823,C,Black Scholar: journal of Black studies and research,1608,Sociology,,,,,0006-4246,,,
32719,C,"Black Women, Gender and Families",1699,Other Studies In Human Society,,,,,1935-2743,1944-6462,,
11286,C,Blaetter fuer Technikgeschichte,2202,History and Philosophy Of Specific Fields,,,,,0067-9127,,,
11534,C,Blake: an Illustrated Quarterly,2005,Literary Studies,,,,,0160-628X,,,
11716,C,Blithe Spirit: Journal of the British Haiku Society,2005,Literary Studies,,,,,1353-3320,,,
15797,A*,Blood,1103,Clinical Sciences,1102,Cardiovascular Medicine and Haematology,1114,Paediatrics and Reproductive Medicine,0006-4971,1528-0020,,
15798,B,"Blood Cells, Molecules and Diseases",1103,Clinical Sciences,,,,,1079-9796,1096-0961,,
15799,B,Blood Coagulation and Fibrinolysis: international journal in haemostasis and thrombosis,1103,Clinical Sciences,,,,,0957-5235,1473-5733,,
15801,B,Blood Pressure Monitoring,1103,Clinical Sciences,,,,,1359-5237,1473-5725,,
42200,C,Blood Pressure. Supplement,1103,Clinical Sciences,,,,,0803-8023,1651-2480,,
15800,B,Blood Pressure: for the advancement of hypertension research,1103,Clinical Sciences,,,,,0803-7051,1651-1999,,
15802,C,Blood Purification,1103,Clinical Sciences,,,,,0253-5068,1421-9735,,
15803,A,Blood Reviews,1103,Clinical Sciences,,,,,0268-960X,1532-1681,,
17575,C,Blue Jay,MD,Multidisciplinary,,,,,0006-5099,,,
2566,C,Blumea: a journal of plant-taxonomy and plant-geography,0607,Plant Biology,,,,,0006-5196,,,
2228,C,BMB Reports,0601,Biochemistry and Cell Biology,,,,,1976-6696,1976-670X,1225-8687,0368-4881
44804,B,BMC Anesthesiology,1116,Medical Physiology,,,,,1471-2253,,,
2322,B,BMC Biochemistry,0601,Biochemistry and Cell Biology,,,,,1471-2091,1471-2237,,
40343,A,BMC Bioinformatics,0801,Artificial Intelligence and Image Processing,0601,Biochemistry and Cell Biology,0802,Computation Theory and Mathematics,1471-2105,,,
37245,A,BMC Biology,06,Biological Sciences,,,,,1741-7007,,,
3349,B,BMC Biotechnology,10,Technology,06,Biological Sciences,,,1472-6750,,,
42226,C,BMC Blood Disorders,1102,Cardiovascular Medicine and Haematology,,,,,1471-2326,,,
15804,B,BMC Cancer,1112,Oncology and Carcinogenesis,,,,,1471-2407,,,
40984,C,BMC Cardiovascular Disorders,1102,Cardiovascular Medicine and Haematology,,,,,1471-2261,,,
2167,B,BMC Cell Biology,0601,Biochemistry and Cell Biology,,,,,1471-2121,,,
2323,B,BMC Chemical Biology,0601,Biochemistry and Cell Biology,,,,,1472-6769,,,
2522,C,BMC Clinical Pathology,0605,Microbiology ,1107,Immunology,,,1472-6890,,,
14896,B,BMC Clinical Pharmacology,1115,Pharmacology and Pharmaceutical Sciences,,,,,1472-6904,,,
34132,C,BMC Complementary and Alternative Medicine,1104,Complementary and Alternative Medicine,,,,,1472-6882,,,
40847,B,BMC Dermatology,1103,Clinical Sciences,,,,,1471-5945,,,
39796,B,BMC Developmental Biology,0601,Biochemistry and Cell Biology,0604,Genetics ,1103,Clinical Sciences,1471-213X,,,
44805,B,"BMC Ear, Nose and Throat Disorders",1103,Clinical Sciences,,,,,1472-6815,,,
36843,B,BMC Ecology,0602,Ecology,,,,,1472-6785,,,
42227,C,BMC Emergency Medicine,1103,Clinical Sciences,,,,,1471-227X,,,
40985,C,BMC Endocrine Disorders,1103,Clinical Sciences,,,,,1472-6823,,,
3214,A,BMC Evolutionary Biology,0603,Evolutionary Biology,0604,Genetics ,,,1471-2148,,,
13443,B,BMC Family Practice,1117,Public Health and Health Services,,,,,1471-2296,,,
15805,B,BMC Gastroenterology,1103,Clinical Sciences,,,,,1471-230X,,,
2417,B,BMC Genetics,0604,Genetics ,,,,,1471-2156,,,
2363,A,BMC Genomics,0604,Genetics ,,,,,1471-2164,,,
15806,C,BMC Geriatrics,1103,Clinical Sciences,,,,,1471-2318,,,
13444,B,BMC Health Services Research,1117,Public Health and Health Services,,,,,1472-6963,,,
15544,B,BMC Immunology,1107,Immunology,,,,,1471-2172,,,
15807,B,BMC Infectious Diseases,1103,Clinical Sciences,0605,Microbiology ,1108,Medical Microbiology,1471-2334,,,
13445,B,BMC International Health and Human Rights,1117,Public Health and Health Services,,,,,1472-698X,,,
13446,A,BMC Medical Education,1302,Curriculum and Pedagogy ,,,,,1472-6920,,,
34988,B,BMC Medical Ethics,2201,Applied Ethics,,,,,1472-6939,,,
15808,B,BMC Medical Genetics,1103,Clinical Sciences,0604,Genetics ,,,1471-2350,,,
44806,B,BMC Medical Genomics,1101,Medical Biochemistry and Metabolomics,1112,Oncology and Carcinogenesis,0604,Genetics ,1755-8794,,,
44807,C,BMC Medical Imaging,1103,Clinical Sciences,,,,,1471-2342,,,
40752,B,BMC Medical Informatics and Decision Making,0806,Information Systems,1103,Clinical Sciences,,,1472-6947,,,
44808,C,BMC Medical Physics,1116,Medical Physiology,0299,Other Physical Sciences,,,1756-6649,,,
15297,C,BMC Medical Research Methodology,11,Medical and Health Sciences,,,,,1471-2288,,,
40887,B,BMC Medicine,1199,Other Medical and Health Sciences,,,,,1741-7015,,,
2523,A,BMC Microbiology,0605,Microbiology ,1108,Medical Microbiology,,,1471-2180,,,
39795,B,BMC Molecular Biology,0601,Biochemistry and Cell Biology,1113,Ophthalmology and Optometry,1101,Medical Biochemistry and Metabolomics,1471-2199,,,
15809,B,BMC Musculoskeletal Disorders,1103,Clinical Sciences,,,,,1471-2474,,,
15810,C,BMC Nephrology,1103,Clinical Sciences,,,,,1471-2369,,,
40064,C,BMC Neurology,1109,Neurosciences,1702,Cognitive Science,,,1471-2377,,,
14560,B,BMC Neuroscience,1109,Neurosciences,1702,Cognitive Science,,,1471-2202,,,
40052,C,BMC Nursing,1110,Nursing,,,,,1472-6955,,,
40846,C,BMC Ophthalmology,1113,Ophthalmology and Optometry,,,,,1471-2415,,,
32542,C,BMC Oral Health,1105,Dentistry,,,,,1472-6831,,,
40848,B,BMC Palliative Care,1117,Public Health and Health Services,,,,,1472-684X,,,
15811,C,BMC Pediatrics,1114,Paediatrics and Reproductive Medicine,,,,,1471-2431,,,
14897,B,BMC Pharmacology,1115,Pharmacology and Pharmaceutical Sciences,,,,,1471-2210,,,
3178,B,BMC Physiology,0606,Physiology ,1116,Medical Physiology,,,1472-6793,,,
2567,B,BMC Plant Biology,0607,Plant Biology,0605,Microbiology ,0703,Crop and Pasture Production,1471-2229,,,
15812,C,BMC Pregnancy and Childbirth,1114,Paediatrics and Reproductive Medicine,,,,,1471-2393,,,
13134,B,BMC Psychiatry,1103,Clinical Sciences,,,,,1471-244X,,,
13449,B,BMC Public Health,1117,Public Health and Health Services,,,,,1471-2458,,,
42228,C,BMC Pulmonary Medicine,1102,Cardiovascular Medicine and Haematology,,,,,1471-2466,,,
42229,Not ranked,BMC Research Notes,1199,Other Medical and Health Sciences,,,,,1756-0500,,,
42230,C,BMC Structural Biology,1199,Other Medical and Health Sciences,,,,,1472-6807,,,
44809,B,BMC Surgery,1103,Clinical Sciences,,,,,1471-2482,,,
42231,B,BMC Systems Biology,1199,Other Medical and Health Sciences,,,,,1752-0509,,,
44810,B,BMC Urology,1103,Clinical Sciences,,,,,1471-2490,,,
5592,B,BMC Veterinary Research,0707,Veterinary Sciences,,,,,1746-6148,,,
13450,B,BMC Women's Health,1117,Public Health and Health Services,1114,Paediatrics and Reproductive Medicine,,,1472-6874,,,
41546,A,BMJ - General Practice Edition,1117,Public Health and Health Services,,,,,0959-8154,,,
44811,B,BMJ (Clinical research ed.),1103,Clinical Sciences,,,,,0959-8138,,,
40222,A*,BMJ: British Medical Journal,11,Medical and Health Sciences,,,,,0959-535X,1468-5833,,
12090,C,BNVKI newsletter,2005,Literary Studies,,,,,1566-8266,,,
34987,C,Bochumer Philosophisches Jahrbuch fuer Antike und Mittelalter,2203,Philosophy ,,,,,1384-6663,1569-9684,,
10824,A*,Body and Society,1608,Sociology,,,,,1357-034X,1460-3632,,
6149,C,Body Image,1701,Psychology,1702,Cognitive Science,,,1740-1445,1873-6807,,
10274,C,"Body, Movement and Dance in Psychotherapy: an international journal for theory, research and practice",1904,Performing Arts and Creative Writing,,,,,1743-2979,1743-2987,,
30259,C,Bogeon Sahoe Yeongu,1603,Demography ,,,,,1226-072X,1226-0282,,
12660,C,Bogoslovni Vestnik,2204,Religion and Religious Studies,,,,,0006-5722,1581-2987,,
12661,C,Bogoslovska Smotra,2204,Religion and Religious Studies,,,,,0352-3101,,,
6905,B,Bohemia: Zeitschrift fuer Geschichte und Kultur der boehmischen Laender,2103,Historical Studies,,,,,0523-8587,,,
5698,C,Bois et Forets des Tropiques,0705,Forestry Sciences,,,,,0006-579X,1777-5760,,
7976,C,Boletin de Arqueologia Medieval,2101,Archaeology,,,,,0213-6090,,,
6907,B,Boletin de la Real Academia de la Historia,2103,Historical Studies,,,,,0034-0626,,,
40552,B,Boletin de Linguistica,2004,Linguistics,,,,,0798-9709,,,
30696,C,Boletin de Matematicas,0101,Pure Mathematics,,,,,0120-0380,,,
11718,C,Boletin Galego de Literatura,2005,Literary Studies,,,,,0214-9117,,,
11720,B,Bollettino '900,2005,Literary Studies,,,,,1126-7003,1124-1578,,
31300,B,Bollettino d'Arte,19,Studies In Creative Arts and Writing,,,,,0394-4573,,,
6908,C,Bollettino dei Classici,2103,Historical Studies,,,,,0392-842X,,,
6911,C,Bollettino Dell'istituto Storico Italiano Per Il Medioevo,2103,Historical Studies,,,,,1127-6096,0392-5242,,
33130,C,Bond Law Review,1801,Law,,,,,1033-4505,,,
15813,A,Bone,1103,Clinical Sciences,1114,Paediatrics and Reproductive Medicine,,,8756-3282,,,
15814,B,Bone Marrow Transplantation,1103,Clinical Sciences,,,,,0268-3369,1476-5365,,
42201,C,Bone Marrow Transplantation. Supplement,1103,Clinical Sciences,,,,,0951-3078,,,
6915,B,Bonner Jahrbuecher: des Rheinischen Landesmuseums in Bonn,2101,Archaeology,,,,,0938-9334,,,
3069,C,Bonner Zoologische Beitraege,0608,Zoology,,,,,0006-7172,,,
6916,A,Book History,2005,Literary Studies,2103,Historical Studies,,,1098-7371,1529-1499,,
34694,B,Bookbird: a journal of international children's literature,2005,Literary Studies,,,,,0006-7377,,,
10275,C,"B'Or Ha-Torah: science, the arts and modern life in the light of the Torah",19,Studies In Creative Arts and Writing,,,,,0333-6298,,,
11535,B,Borderlands E - Journal: new spaces in the humanities,2102,Curatorial and Related Studies,,,,,1447-0810,,,
34584,A,Boreas,0402,Geochemistry,0403,Geology,0404,Geophysics,0300-9483,1502-3885,,
11721,C,Borrowers and Lenders: the journal of Shakespeare and appropriation,2005,Literary Studies,,,,,1554-6985,,,
33131,B,Boston College Environmental Affairs Law Review,1801,Law,0502,Environmental Science and Management,,,0190-7034,1930-4498,,
33133,B,Boston College International and Comparative Law Review,1801,Law,,,,,0277-5778,1930-563X,0161-2832,
33134,B,Boston College Law Review,1801,Law,,,,,0161-6587,1930-661X,,
33135,B,Boston College Third World Law Journal,1801,Law,,,,,0276-3583,1930-5648,,
34986,B,Boston Studies in the Philosophy of Science: Boston colloquium for the philosophy of science,2203,Philosophy ,1702,Cognitive Science,,,0068-0346,,,
33136,B,Boston University International Law Journal,1801,Law,,,,,0737-8947,1930-658X,,
33138,A,Boston University Law Review,1801,Law,,,,,0006-8047,,,
2701,C,Botanica Complutensis,0607,Plant Biology,,,,,0214-4565,,,
2702,C,Botanica Helvetica,0607,Plant Biology,,,,,0253-1453,1420-9063,,
2703,C,Botanica Macaronesica,0607,Plant Biology,,,,,0211-7150,,,
2568,C,Botanica Marina,0607,Plant Biology,,,,,0006-8055,1437-4323,,
2570,B,Botanical Journal of the Linnean Society,0607,Plant Biology,,,,,0024-4074,1095-8339,,
2704,C,Botanical Research Institute of Texas. Journal,0607,Plant Biology,,,,,1934-5259,0036-1488,,
2705,C,Botanical Studies,0607,Plant Biology,,,,,1817-406X,0006-8063,,
2706,C,Botanicheskii Zhurnal,0607,Plant Biology,,,,,0006-8136,,,
2707,C,Botanika-Steciana,0607,Plant Biology,,,,,1896-1908,,,
2708,C,"Botanische Jahrbuecher fuer Systematik, Pflanzengeschichte und Pflanzengeographie",0603,Evolutionary Biology,,,,,0006-8152,,,
2573,B,Botany,0607,Plant Biology,,,,,1916-2790,1916-2804,0008-4026,
2709,C,Bothalia,0607,Plant Biology,,,,,0006-8241,,,
41439,Not ranked,Botulinum Journal,0605,Microbiology ,,,,,1754-7318,1754-7326,,
11722,A,Boundary 2: an International Journal of Literature and Culture,2005,Literary Studies,2002,Cultural Studies,,,0190-3659,1527-2141,,
32224,B,Boundary Value Problems,0101,Pure Mathematics,0102,Applied Mathematics,,,1687-2762,1687-2770,,
1959,B,Boundary-Layer Meteorology: an international journal of physical and biological processes in the atmospheric boundary layer,0401,Atmospheric Sciences,,,,,0006-8314,1573-1472,,
5594,C,Bovine Practitioner,0707,Veterinary Sciences,,,,,0524-1685,,,
15815,C,Brachytherapy,1103,Clinical Sciences,,,,,1538-4721,1873-1449,,
33863,C,Bracton Law Journal,1801,Law,,,,,0308-4574,,,
2710,C,Bradleya,0607,Plant Biology,,,,,0265-086X,0007-9375,,
35119,C,Bragantia,0403,Geology,,,,,0006-8705,1678-4499,,
36403,B,Brahmavidya: the Adyar library bulletin,MD,Multidisciplinary,,,,,0001-902X,,,
9888,C,Brahms Studies,1904,Performing Arts and Creative Writing,,,,,1074-4843,,,
14495,A*,Brain,1103,Clinical Sciences,1109,Neurosciences,1701,Psychology,0006-8950,1460-2156,,
15817,C,Brain Aging: International Journal,1103,Clinical Sciences,1702,Cognitive Science,,,1582-8352,1582-8360,,
6150,A,Brain and Cognition,1702,Cognitive Science,1109,Neurosciences,1701,Psychology,0278-2626,1090-2147,,
15816,B,Brain and Development,1103,Clinical Sciences,1702,Cognitive Science,,,0387-7604,1872-7131,,
6151,A,Brain and Language,1701,Psychology,1702,Cognitive Science,,,0093-934X,1090-2155,,
8340,B,Brain and Mind: a transdisciplinary journal of neuroscience and neurophilosophy,2203,Philosophy ,1702,Cognitive Science,,,1389-1987,,,
2242,B,Brain Cell Biology,0601,Biochemistry and Cell Biology,1109,Neurosciences,,,1559-7105,0300-4864,,
40868,C,Brain Imaging and Behavior: an international journal,1109,Neurosciences,,,,,1931-7557,1931-7565,,
15818,C,Brain Impairment,1103,Clinical Sciences,1701,Psychology,1702,Cognitive Science,1443-9646,,,
22125,B,Brain Injury,1103,Clinical Sciences,1702,Cognitive Science,,,0269-9052,1362-301X,,
15819,A,Brain Pathology,1103,Clinical Sciences,,,,,1015-6305,1750-3639,,
14502,B,Brain Research,1109,Neurosciences,1702,Cognitive Science,,,0006-8993,1872-6240,0169-328X,1385-299X
14511,B,Brain Research Bulletin,1109,Neurosciences,1702,Cognitive Science,,,0361-9230,1873-2747,,
14512,A,Brain Research Reviews,1109,Neurosciences,1702,Cognitive Science,,,0165-0173,1872-6321,,
14643,C,Brain Structure and Function,1116,Medical Physiology,,,,,1863-2653,1863-2661,0340-2061,0044-2232
15820,B,Brain Topography: journal of functional neurophysiology,1103,Clinical Sciences,1702,Cognitive Science,1109,Neurosciences,0896-0267,1573-6792,,
2364,B,"Brain, Behavior and Evolution",0604,Genetics ,1109,Neurosciences,1702,Cognitive Science,0006-8977,1421-9743,,
15461,A,"Brain, Behavior, and Immunity",1107,Immunology,1109,Neurosciences,,,0889-1591,1090-2139,,
15350,C,Bratislava Medical Journal,11,Medical and Health Sciences,,,,,0006-9248,,,
2047,C,Brazilian Archives of Biology and Technology: an international journal,06,Biological Sciences,,,,,1516-8913,1678-4324,0365-0979,
32543,C,Brazilian Dental Journal,1105,Dentistry,,,,,0103-6440,1806-4760,,
18250,C,Brazilian Electronic Journal of Economics,14,Economics,,,,,1516-4373,,,
18335,C,Brazilian Journal of Business Economics,1402,Applied Economics,,,,,1676-8000,,,
3841,C,Brazilian Journal of Chemical Engineering,0904,Chemical Engineering ,,,,,0104-6632,,,
9689,C,Brazilian Journal of Food Technology,0908,Food Sciences,,,,,1516-7275,0100-350X,,
15298,C,Brazilian Journal of Medical and Biological Research,11,Medical and Health Sciences,,,,,0100-879X,1678-4510,,
2524,C,Brazilian Journal of Microbiology,0605,Microbiology ,1108,Medical Microbiology,,,1517-8382,1678-4405,,
35071,C,Brazilian Journal of Oceanography,0405,Oceanography,,,,,1679-8759,,,
32544,C,Brazilian Journal of Oral Sciences,1105,Dentistry,,,,,1677-3217,1677-3225,,
953,C,Brazilian Journal of Physics,02,Physical Sciences,01,Mathematical Sciences,,,0103-9733,,,
2711,C,Brazilian Journal of Plant Physiology,0607,Plant Biology,,,,,1677-0420,1677-9452,0103-3131,
39977,C,Brazilian Journal of Probability and Statistics (Brazilian Stat. Assoc.),0104,Statistics ,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,0103-0752,,,
44823,B,Breast Cancer,1112,Oncology and Carcinogenesis,,,,,1340-6868,1880-4233,,
15823,B,Breast Cancer Research,1112,Oncology and Carcinogenesis,,,,,1465-5411,1465-542X,,
15824,A,Breast Cancer Research and Treatment,1112,Oncology and Carcinogenesis,,,,,0167-6806,1573-7217,,
44812,C,Breast Care,1103,Clinical Sciences,,,,,1661-3791,,,
44813,C,Breast Disease,1103,Clinical Sciences,1112,Oncology and Carcinogenesis,,,0888-6008,,,
44814,C,Breast Diseases,1103,Clinical Sciences,1112,Oncology and Carcinogenesis,,,1043-321X,,,
41548,B,Breastfeeding Medicine,1114,Paediatrics and Reproductive Medicine,1117,Public Health and Health Services,1111,Nutrition and Dietetics,1556-8253,,,
13451,C,Breastfeeding Review,1110,Nursing,,,,,0729-2759,,,
34693,A,Brecht Yearbook,1904,Performing Arts and Creative Writing,2005,Literary Studies,,,0734-8665,,,
31058,B,Breeding Science,0703,Crop and Pasture Production,,,,,1344-7610,1347-3735,0536-3683,
21225,C,"Bridges (Monkton): an interdisciplinary journal of theology, philosophy, history, and science",MD,Multidisciplinary,,,,,1042-2234,,,
18191,C,Briefing Notes in Economics,14,Economics,,,,,0968-7017,,,
3350,B,Briefings in Bioinformatics,0601,Biochemistry and Cell Biology,,,,,1467-5463,1477-4054,,
19522,C,Briefings in Entrepreneurial Finance,1503,Business and Management,,,,,1943-2593,1943-2607,1086-1718,
33140,B,Brigham Young University Education and Law Journal,1801,Law,,,,,1930-5273,1930-5281,,
33142,B,Brigham Young University Law Review,1801,Law,,,,,0360-151X,,,
6917,A*,Britannia: a journal of Romano-British and kindred studies,2101,Archaeology,2103,Historical Studies,,,0068-113X,1753-5352,,
19078,A,British Accounting Review,1501,"Accounting, Auditing and Accountability",,,,,0890-8389,1095-8347,,
39624,A*,British Actuarial Journal,1502,"Banking, Finance and Investment",0102,Applied Mathematics,,,1357-3217,0020-2681,,
11723,C,British and American Studies,2005,Literary Studies,,,,,1224-3086,,,
44815,C,British Birds,0608,Zoology,,,,,0007-0335,,,
15299,C,British Columbia Medical Journal,11,Medical and Health Sciences,,,,,0007-0556,,,
32545,B,British Dental Journal,1105,Dentistry,,,,,0007-0610,1476-5373,,
20005,A*,British Educational Research Journal,13,Education,,,,,0141-1926,1469-3518,,
9690,C,British Food Journal: an international multi-disciplinary journal for the dissemination of food-related research,0908,Food Sciences,,,,,0007-070X,1758-4108,,
8343,A,British Journal for the History of Philosophy,2202,History and Philosophy Of Specific Fields,2203,Philosophy ,,,0960-8788,1469-3526,,
11287,B,British Journal for the History of Science,2202,History and Philosophy Of Specific Fields,,,,,0007-0874,1474-001X,,
44816,C,British Journal of Administrative Management,15,"Commerce, Management, Tourism and Services",16,Studies In Human Society,,,1353-5188,,,
8345,A*,British Journal of Aesthetics,1904,Performing Arts and Creative Writing,2203,Philosophy ,1901,Art Theory and Criticism,0007-0904,1468-2842,,
15826,B,British Journal of Anaesthesia,1103,Clinical Sciences,,,,,0007-0912,1471-6771,,
44817,C,British Journal of Biomedical Science,11,Medical and Health Sciences,,,,,0967-4845,,,
41551,A,British Journal of Canadian Studies,1608,Sociology,2103,Historical Studies,,,0269-9222,1757-8078,,
15828,A,British Journal of Cancer,1112,Oncology and Carcinogenesis,,,,,0007-0920,1532-1827,,
40399,C,British Journal of Cardiac Nursing,1110,Nursing,1102,Cardiovascular Medicine and Haematology,1117,Public Health and Health Services,1749-6403,,,
44818,B,British Journal of Cardiology,1102,Cardiovascular Medicine and Haematology,1103,Clinical Sciences,,,0969-6113,,,
14702,A,British Journal of Clinical Pharmacology,1115,Pharmacology and Pharmaceutical Sciences,,,,,0306-5251,1365-2125,,
6152,A,British Journal of Clinical Psychology,1701,Psychology,,,,,0144-6657,,,
17027,C,British Journal of Community Justice,1602,Criminology,,,,,1475-0279,,,
14065,C,British Journal of Community Nursing,1110,Nursing,,,,,1462-4753,1362-4407,,
15829,A,British Journal of Dermatology,1103,Clinical Sciences,,,,,0007-0963,1365-2133,,
20717,C,British Journal of Developmental Disabilities,1303,Specialist Studies In Education,,,,,0969-7950,,,
6153,B,British Journal of Developmental Psychology,1701,Psychology,1702,Cognitive Science,,,0261-510X,,,
6154,B,British Journal of Educational Psychology,1701,Psychology,1303,Specialist Studies In Education,,,0007-0998,,,
20009,A,British Journal of Educational Studies,13,Education,,,,,0007-1005,1467-8527,,
20263,A,British Journal of Educational Technology,1303,Specialist Studies In Education,,,,,0007-1013,1467-8535,0022-0698,
40986,C,British Journal of Engineering Education,1301,Education Systems ,,,,,1470-4692,,,
44819,C,British Journal of Forensic Practice,MD,Multidisciplinary,,,,,1463-6646,,,
13452,B,British Journal of General Practice,1117,Public Health and Health Services,,,,,0960-1643,1478-5242,,
6155,C,British Journal of Guidance and Counselling,1607,Social Work,1701,Psychology,,,0306-9885,1469-3534,,
15832,A,British Journal of Haematology,1102,Cardiovascular Medicine and Haematology,,,,,0007-1048,1365-2141,,
36057,C,British Journal of Health Care Management,15,"Commerce, Management, Tourism and Services",,,,,1358-0574,,,
6156,B,British Journal of Health Psychology,1701,Psychology,,,,,1359-107X,,,
15834,C,British Journal of Hospital Medicine,1103,Clinical Sciences,,,,,1750-8460,0210-0258,1462-3935,
19741,A,British Journal of Industrial Relations: an international journal of employment relation,1503,Business and Management,,,,,0007-1080,1467-8543,,
44820,B,British Journal of Intensive Care,1103,Clinical Sciences,,,,,0961-7930,,,
8342,C,British Journal of Learning Disabilities,1303,Specialist Studies In Education,,,,,1354-4187,1468-3156,,
